gen	best_of_gen	nevals	avg    	std    	min  	max  
66 	15182      	71    	20208.6	5059.16	15182	30106
67 	15182      	79    	20818  	5880.28	15182	35989
68 	15182      	70    	21423.1	6247.25	15182	35315
69 	15182      	78    	21679.6	5691.72	15182	37531
70 	15182      	75    	21377.7	5246.93	15182	33652
71 	15182      	66    	20518  	5415.27	15182	33294
72 	15182      	73    	20733.1	5851.28	15182	34632
73 	15182      	86    	21051.4	5539.83	15182	33838
74 	15182      	79    	21790.9	5917.94	15182	35884
75 	15182      	71    	21624.2	5269.86	15182	32286
76 	15182      	71    	21500.1	5527.02	15182	34052
77 	15182      	75    	21384.5	5707.73	15182	34646
78 	15182      	69    	20869.8	5362.04	15182	32241
79 	15182      	58    	20930  	5583.15	15182	34181
80 	15182      	75    	21278.4	5629.19	15182	32102
81 	15182      	78    	20825.4	5367.55	15182	33643
82 	15182      	86    	21654.6	5780.19	15182	36404
83 	15182      	79    	21186.2	5349.2 	15182	34419
84 	15182      	70    	21601.5	5288.94	15182	33245
85 	15182      	76    	21037.4	5234.3 	15182	33747
86 	15182      	80    	21138.1	5450.64	15182	34368
87 	15182      	64    	20655.8	5491.48	15182	32762
88 	15182      	74    	21246.4	5904.26	15182	36717
89 	15182      	72    	20455.7	5571.87	15182	36182
90 	15182      	79    	21081.7	5479.89	15182	35766
91 	15182      	81    	20948  	5520.46	15182	35424
92 	15182      	73    	21651.8	5830.69	15182	37833
93 	15182      	70    	20943  	5611.28	15182	32255
94 	15182      	74    	21089.5	6071.1 	15182	34494
95 	15182      	73    	20936.8	5910.26	15182	34877
96 	15182      	73    	21085.6	5666.88	15182	33870
97 	15182      	73    	20983.1	4886.47	15182	32598
98 	15182      	71    	20909.2	5601.72	15182	33917
99 	15182      	74    	20966.2	5742.55	15182	35787
100	15182      	73    	21298.1	5659.6 	15182	32654
run 2: 15182.00 19 4973
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	25912      	100   	35397.6	3523.74	25912	43602
1  	25177      	75    	32656.5	3003.62	25177	41889
2  	21498      	82    	31450.7	3935.42	21498	42151
3  	21498      	74    	30283.8	3833.17	21498	38441
4  	21498      	79    	28785.9	4157.91	21498	37689
5  	18023      	80    	27949.3	4125.62	18023	40858
6  	18019      	78    	27442.8	4675.74	18019	37802
7  	18019      	78    	26437.8	4929.52	17864	38334
8  	15762      	69    	25044.9	5018.89	15762	36836
9  	15762      	71    	24251.3	5136.65	15762	35962
10 	15762      	71    	23434.6	5212.15	15762	35747
11 	15762      	81    	23882.2	5471.72	15762	37677
12 	15762      	82    	23621.9	5424.76	15762	34193
13 	15762      	74    	23534  	5683.23	15762	35948
14 	15762      	71    	23534.6	5726.74	15762	38379
15 	15762      	79    	22469.2	5250.52	15762	35541
16 	15762      	77    	21828  	5315.85	15762	32205
17 	15762      	74    	22760.5	5921.67	15762	33593
18 	15762      	75    	22273.7	5521.22	15762	31855
19 	15762      	69    	21886.9	5989.3 	15762	37329
20 	15762      	77    	22181.9	6006.86	15762	34993
21 	15762      	74    	21812.1	5693.21	15762	32769
22 	15762      	70    	22342.7	6472.08	15762	37075
23 	15733      	82    	22701.7	6180.18	15733	35536
24 	15733      	81    	21653.7	5478.6 	15733	34193
25 	15733      	80    	21887.6	5726.21	15733	34395
26 	15733      	74    	22067.7	5703.55	15733	34666
27 	15733      	75    	22280.9	5565.56	15733	33426
28 	15733      	78    	22846.5	5747.95	15733	36980
29 	15733      	74    	23257.7	6069.91	15733	35322
30 	15733      	77    	23742.7	5979.47	15733	40600
31 	15733      	84    	23789.7	5559.75	15733	35387
32 	15733      	74    	23016.5	5601.77	15733	37059
33 	14981      	82    	23059.6	6116.29	14981	35865
34 	14981      	72    	22096.8	5471.84	14981	36784
35 	14981      	71    	22789.6	5635.88	14981	38627
36 	14981      	82    	22486.2	5216.28	14981	31118
37 	14981      	72    	22948.7	5477.6 	14981	36635
38 	14981      	84    	23327.8	5808.04	14981	35961
39 	14981      	78    	22170.9	5456.78	14981	34503
40 	14981      	74    	22734.2	6089.99	14981	36129
41 	14977      	69    	22919  	5667.68	14977	37894
42 	14977      	67    	22336.5	5648.03	14977	36812
43 	14977      	67    	21509.6	5408.9 	14977	32538
44 	14977      	71    	21576.8	5691.79	14977	33406
45 	14977      	77    	21546.6	5559.03	14977	34963
46 	14977      	78    	22176.1	6074.45	14977	35054
47 	14977      	69    	21785.6	5684.83	14977	34056
48 	14977      	82    	21516.9	5423.38	14977	33784
49 	14977      	74    	22080.4	5618.02	14977	34229
50 	14977      	76    	21602.8	5762.17	14977	34351
51 	14977      	80    	21089.4	5686.65	14977	33297
52 	14977      	85    	22113.1	5806.21	14977	35662
53 	14977      	76    	21818.9	5779.33	14977	36097
54 	14977      	81    	21663.8	5952.83	14977	37533
55 	14977      	76    	23093.7	5066.79	14977	32250
56 	14977      	82    	23283.7	5586.5 	14977	35350
57 	14977      	79    	23010.4	5666.45	14977	38419
58 	14977      	72    	22321.3	5706.53	14977	36348
59 	14977      	70    	21230.7	5973.18	14977	34414
60 	14977      	69    	20365.2	5315.01	14977	35040
61 	14977      	77    	21316.9	5505.19	14977	34297
62 	14977      	79    	22124.7	5695.57	14977	33029
63 	14977      	76    	21546.2	5372.12	14977	31530
64 	14977      	73    	20982  	5595.23	14977	36667
65 	14977      	81    	21809.1	5889.56	14977	35382
66 	14977      	73    	21783.8	5327.22	14977	36615
67 	14977      	78    	20822.9	5225.97	14977	34570
68 	14977      	79    	21071.2	5203.03	14977	31304
69 	14977      	75    	21189.1	5088.59	14977	37380
70 	14977      	72    	21117.5	5597.44	14977	34875
71 	14977      	86    	21551.7	5020.01	14977	30687
72 	14977      	83    	22421  	5633.08	14977	33592
73 	14977      	77    	22393.1	6365.07	14977	38754
74 	14977      	68    	22023.7	5756.94	14977	35514
75 	14977      	76    	20977.2	5648.96	14977	34063
76 	14977      	75    	20305.2	5676.4 	14977	35392
77 	14977      	73    	20507.6	5713.77	14977	33658
78 	14977      	84    	21144  	5547.67	14977	33089
79 	14977      	74    	21280.7	5680.03	14977	33350
80 	14977      	72    	21065.3	5416.53	14977	30884
81 	14977      	73    	20677  	5536.54	14977	36200
82 	14977      	74    	20815.2	5563.59	14977	32063
83 	14977      	76    	20997.5	5627.54	14977	31510
84 	14977      	80    	21898.1	6024.71	14977	33307
85 	14977      	79    	21069.3	5530.38	14977	35359
86 	14977      	74    	21128  	5702.14	14977	32189
87 	14977      	74    	21542.8	5649.82	14977	32726
88 	14977      	74    	21898  	5769.21	14977	37477
89 	14977      	77    	21186.5	5512.78	14977	32172
90 	14977      	68    	20632.9	5403.01	14977	34819
91 	14977      	65    	20342.4	5407.49	14977	34391
92 	14977      	73    	20827.3	5815.61	14977	35380
93 	14977      	76    	20274.7	5583.82	14977	32857
94 	14977      	79    	20059.5	5630.52	14977	32957
95 	14977      	80    	20996.1	5717.3 	14977	31129
96 	14977      	77    	21324.7	5738.22	14977	33467
97 	14977      	75    	20985.9	5959.95	14977	34903
98 	14977      	71    	20689.5	5682.63	14977	32182
99 	14977      	73    	21297.7	5946.62	14977	37112
100	14977      	76    	21947.2	5873.05	14977	36877
run 3: 14977.00 64 5107
gen	best_of_gen	nevals	avg  	std    	min  	max  
0  	26433      	100   	35280	3863.29	26433	46956
1  	22947      	74    	33424.4	3752.49	22947	42671
2  	21677      	76    	31307.8	3873.55	21677	40881
3  	21055      	74    	29189.2	3571.5 	21055	38830
4  	17291      	83    	28127.4	4192.18	17291	39940
5  	17291      	81    	26525.2	4393.22	17291	34967
6  	17174      	81    	25965.8	5114.88	17174	38509
7  	17174      	75    	24485.7	4615.65	17174	34745
8  	15692      	69    	23602.8	4929.42	15692	36369
9  	14657      	76    	22936.5	5699.68	14657	39761
10 	14370      	74    	22151.2	5088.33	14370	33004
11 	14370      	69    	21594.8	5161.41	14370	35702
12 	14370      	72    	21915.9	5279.46	14370	38415
13 	14370      	81    	22098.5	6168.72	14370	40431
14 	14370      	76    	22234.8	5531.95	14370	32477
15 	14370      	75    	22332.7	5682.68	14370	35381
16 	14370      	71    	21313.4	5771.37	14370	34378
17 	14370      	67    	20566.3	5708.19	14370	36721
18 	14370      	80    	21712.3	6074.29	14370	37830
19 	14370      	66    	20734.6	6111.78	14370	34151
20 	14370      	78    	20612.8	6206.66	14370	34507
21 	14370      	73    	20323.3	5990.32	14370	32494
22 	14370      	77    	20880.4	6068.55	14370	33097
23 	14370      	78    	21152.6	6218.88	14370	34053
24 	14370      	80    	21056  	5885.34	14370	32729
25 	14370      	75    	21338.2	6221.16	14370	32598
26 	14370      	70    	20990.8	6505.08	14370	38435
27 	14370      	79    	21433.2	6360.4 	14370	36599
28 	14370      	71    	21285.9	6071.32	14370	37994
29 	14370      	81    	21432.7	5676.92	14370	35939
30 	14370      	75    	22021  	6055.95	14370	35412
31 	14370      	75    	22129.1	6107.35	14370	38781
32 	14370      	70    	22141.6	6393.95	14370	38915
33 	14370      	78    	21575.1	5694.37	14370	35264
34 	14370      	83    	22408  	5611.52	14370	33074
35 	14370      	75    	22362.8	5608.77	14370	37383
36 	14370      	76    	22882.2	6089.23	14370	36286
37 	14370      	70    	21829.4	6185.27	14370	37402
38 	14370      	82    	22095.1	6073.78	14370	36231
39 	14370      	66    	21411  	6055.43	14370	35276
40 	14370      	71    	21544.8	5878.42	14370	34385
41 	14370      	69    	20415.6	6118.9 	14370	32688
42 	14370      	75    	20705.8	6368.32	14370	34843
43 	14370      	77    	21607.2	6592.77	14370	34814
44 	14370      	78    	21567.9	5969.23	14370	36944
45 	14370      	81    	21472.8	5817.86	14370	34455
46 	14370      	64    	20707.3	6476.83	14370	35943
47 	14370      	68    	20861.7	5758.4 	14370	34066
48 	14370      	80    	21848.5	6342.94	14370	36427
49 	14370      	69    	21133.5	6321.34	14370	32820
50 	14370      	67    	22206.4	6851.34	14370	37820
51 	14370      	74    	21502  	6901.94	14370	38652
52 	14370      	77    	19716.4	6157.13	14370	35992
53 	14370      	78    	21246.9	6577.52	14370	34894
54 	14370      	69    	20094.5	6153.94	14370	34173
55 	14370      	66    	20431.2	5932.24	14370	31969
56 	14370      	80    	22151  	6404.22	14370	33646
57 	14370      	77    	20808.4	6253.12	14370	36103
58 	14370      	70    	20333  	5560.3 	14370	32735
59 	14370      	70    	20731  	6127.32	14370	35434
60 	14370      	72    	21262.8	6558.54	14370	36997
61 	14370      	76    	20806.7	5943.21	14370	36477
62 	14370      	79    	20428.3	6513.99	14370	38026
63 	14370      	82    	20848.9	6407.61	14370	35520
64 	14370      	82    	21979.9	6203.91	14370	38058
65 	14370      	70    	22351.3	6352.61	14370	36469
66 	14370      	78    	21650.6	6185.65	14370	33958
67 	14370      	83    	21371.9	6061.95	14370	34873
68 	14370      	83    	22440.5	5959.91	14370	31922
69 	14370      	76    	22769.4	5890.68	14370	36605
70 	14370      	86    	22755.2	6297.02	14370	38254
71 	14370      	72    	21496.4	6236.86	14370	33082
72 	14370      	68    	21535  	6828.14	14370	38166
73 	14370      	67    	20545.2	6146.77	14370	34427
74 	14370      	81    	20581  	6653.58	14370	36444
75 	14370      	77    	19935.9	5677.3 	14370	32545
76 	14370      	77    	20876.2	5817.05	14370	33943
77 	14370      	78    	22088.2	6572.67	14370	33574
78 	14370      	82    	22036.1	6127.31	14370	35804
79 	14370      	75    	21854  	6159.21	14370	38891
80 	14370      	75    	21648.9	5850.17	14370	34183
81 	14370      	71    	20777.7	5707.38	14370	31607
82 	14370      	80    	21318  	5987.77	14370	34324
83 	14370      	80    	22319  	6218.64	14370	38473
84 	14370      	72    	21486.9	5907.32	14370	35539
85 	14370      	81    	22355.1	5812.77	14370	39368
86 	14370      	79    	21746.9	5827.53	14370	34384
87 	14370      	68    	22654  	6084.03	14370	37107
88 	14370      	74    	21920  	5596.3 	14370	35331
89 	14370      	75    	21746.8	6119.55	14370	33090
90 	14370      	72    	21226  	5994.41	14370	32631
91 	14370      	72    	20191.5	5976.79	14370	32475
92 	14370      	77    	20694  	6552.1 	14370	35443
93 	14370      	68    	20407.7	5714.37	14370	36063
94 	14370      	74    	21300.1	6525.72	14370	36018
95 	14370      	76    	22407  	6279.34	14370	38772
96 	14370      	72    	21825.6	6226.67	14370	36671
97 	14370      	74    	22550.5	6150.17	14370	35527
98 	14370      	76    	22313.4	5770.12	14370	38730
99 	14370      	72    	22355.1	6145.58	14370	35541
100	14370      	72    	21780.3	6275.39	14370	35520
run 4: 14370.00 16 5017
gen	best_of_gen	nevals	avg    	std    	min  	max  
0  	14660      	100   	20569.8	2609.55	14660	29024
1  	13437      	73    	18652.8	2457.81	13437	27415
2  	9797       	75    	17104.3	2548.23	9797 	23738
3  	9797       	78    	16421.5	3134.58	9797 	24821
4  	9797       	71    	15365.2	3037.46	9797 	22697
5  	9723       	73    	14797.5	3341.59	9723 	22991
6  	9723       	80    	14500.8	3357.48	9723 	22138
7  	9723       	79    	13611.2	3344.37	9723 	21095
8  	9723       	70    	13908.1	3830.42	9723 	22181
9  	9723       	76    	13982.8	3719.32	9723 	23334
10 	9723       	72    	13767.6	3574.28	9723 	20792
11 	9723       	75    	13560.3	3567.43	9723 	21468
12 	9723       	72    	13825.1	3645.66	9723 	22148
13 	9723       	75    	13692.3	3686.11	9723 	22208
14 	9723       	85    	14169.6	3522.27	9723 	20768
15 	9723       	75    	14138.9	4038.73	9723 	23162
16 	9723       	69    	13612.8	3731.82	9723 	20334
17 	9723       	76    	14159.6	4001.13	9723 	21551
18 	9723       	78    	13942.6	3871.28	9723 	22100
19 	9723       	82    	14060.9	3945.68	9723 	23012
20 	9723       	77    	14324.6	3922.59	9723 	23421
