Instances  Hoang  GA-R   GA-I3   GA-I5   GALS-R   GALS-I3   GALS-I5  
 optimal Cost GAP cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time
C1-5-25-75-4.ctp 9898 9898 0 9898 0 00:02:56.92 9898 0 00:02:13.65 9898 0 00:03:24.30 9898 0 00:05:15.19 9898 0 00:13:50.79 9898 0 00:09:09.46
C1-5-25-75-5.ctp 9707 9707 0 9707 0 00:02:38.89 9707 0 00:01:56.39 9707 0 00:03:29.32 9707 0 00:05:20.78 9707 0 00:12:43.79 9707 0 00:10:21.82
C1-5-25-75-6.ctp 9321 9321 0 9321 0 00:02:47.53 9321 0 00:01:44.51 9321 0 00:03:08.28 9321 0 00:05:00.64 9321 0 00:05:12.49 9321 0 00:09:12.82
C1-5-25-75-8.ctp 7474 7474 0 7474 0 00:02:18.57 7474 0 00:01:52.66 7474 0 00:03:12.34 7474 0 00:04:08.44 7474 0 00:10:55.87 7474 0 00:07:37.31
D1-1-25-75-4.ctp 7671 7671 0 7671 0 00:02:24.27 7671 0 00:02:20.94 7671 0 00:04:06.69 7671 0 00:03:51.03 7671 0 00:02:43.32 7671 0 00:07:54.91
D1-1-25-75-5.ctp 7465 7465 0 7465 0 00:03:02.66 7465 0 00:02:06.80 7465 0 00:04:00.68 7465 0 00:03:41.69 7465 0 00:07:23.92 7465 0 00:07:31.06
D1-1-25-75-6.ctp 6651 6651 0 6651 0 00:03:08.83 6651 0 00:01:24.70 6651 0 00:01:53.06 6651 0 00:02:58.09 6651 0 00:02:20.44 6651 0 00:06:30.55
D1-1-25-75-8.ctp 6651 6651 0 6651 0 00:01:58.59 6651 0 00:02:10.07 6651 0 00:03:38.68 6651 0 00:02:56.04 6651 0 00:08:18.08 6651 0 00:06:54.50
D1-1-50-50-4.ctp 11606 11606 0 11606 0 00:06:46.19 11606 0 00:05:14.54 11606 0 00:08:28.09 11606 0 00:09:54.54 11606 0 00:07:23.82 11606 0 00:20:04.12
D1-1-50-50-5.ctp 10770 10770 0 10770 0 00:06:50.86 10770 0 00:04:49.52 10770 0 00:08:36.87 10770 0 00:08:47.13 10770 0 00:21:41.81 10770 0 00:13:10.97
D1-1-50-50-6.ctp 10525 10680 1.4513108614 10525 0 00:07:06.11 10525 0 00:05:01.50 10525 0 00:08:37.19 10710 1.7273576097 00:09:11.24 10710 1.7273576097 00:05:56.30 10525 0 00:14:01.50
D1-1-50-50-8.ctp 9361 9361 0 9361 0 00:06:36.77 9361 0 00:05:22.79 9361 0 00:08:56.46 9361 0 00:08:25.95 9361 0 00:24:45.32 9361 0 00:17:20.47
D1-10-50-50-4.ctp 20982 20982 0 21120 0.6534090909 00:08:32.60 21210 1.0749646393 00:04:57.43 21143 0.7614813413 00:06:10.01 20982 0 00:39:05.39 21112 0.6157635468 01:20:01.55 20982 0 00:23:12.47
D1-10-50-50-5.ctp 18576 18576 0 18907 1.7506743534 00:08:55.07 18576 0 00:06:29.65 19216 3.3305578684 00:11:53.26 18576 0 00:36:24.15 18576 0 01:11:30.60 18576 0 01:02:10.98
D1-10-50-50-6.ctp 16330 16330 0 16824 2.9362815026 00:08:15.13 16343 0.0795447592 00:07:14.19 16596 1.6027958544 00:11:45.17 16600 1.6265060241 00:31:16.54 16330 0 01:05:53.36 16603 1.644281154 00:48:05.50
D1-10-50-50-8.ctp 14204 14204 0 14787 3.9426523297 00:08:59.88 14204 0 00:07:03.40 14251 0.3298014174 00:12:06.20 14586 2.6189496778 00:31:32.70 14204 0 01:06:30.73 14204 0 00:17:46.59
D1-5-25-75-4.ctp 11820 11820 0 11820 0 00:03:29.72 11820 0 00:02:15.67 11820 0 00:04:06.62 11820 0 00:05:28.91 11820 0 00:03:38.63 11820 0 00:10:47.84
D1-5-25-75-5.ctp 10982 10982 0 10982 0 00:02:49.80 10982 0 00:02:17.22 10982 0 00:03:53.05 10982 0 00:05:41.98 10982 0 00:13:45.19 10982 0 00:10:39.95
D1-5-25-75-6.ctp 9669 9669 0 9676 0.0723439438 00:03:00.26 9676 0.0723439438 00:01:59.80 9669 0 00:03:40.43 9676 0.0723439438 00:05:36.83 9669 0 00:13:07.64 9676 0.0723439438 00:08:23.43
D1-5-25-75-8.ctp 8200 8200 0 8200 0 00:01:31.75 8200 0 00:01:53.65 8200 0 00:03:33.78 8200 0 00:04:30.66 8200 0 00:11:23.16 8200 0 00:09:37.68
                     
     58   67   64   64   73   75 
                     
                    80 
                     
                     
A1-13-25-75-4.ctp  0  16515  00:03:30.05 16515  00:01:19.34 16515  00:03:37.15    16515  00:46:25.86 16515  00:39:07.17
A1-13-25-75-5.ctp  0  13754  00:03:18.96 13754  00:01:19.34 13754  00:02:41.06    13754  00:40:55.22 13754  00:34:12.89
A1-13-25-75-6.ctp  0  13645  00:03:11.23 13645  00:01:18.07 13645  00:04:00.39    13645  00:28:13.91 13645  00:32:40.95
A1-13-25-75-8.ctp  0  12767  00:03:24.12 12767  00:02:11.40 12767  00:03:51.67    12767  00:31:47.72 12767  00:30:17.18
A1-25-50-50-4.ctp  0  29710  00:09:25.03 26680  00:03:56.68 27193  00:11:06.89    26663  04:48:15.55 26664  04:06:40.07
A1-25-50-50-5.ctp  0  23496  00:09:38.88 23082  00:03:20.35 23028  00:12:07.82    22766  04:12:54.07 22559  03:24:44.61
A1-25-50-50-6.ctp  0  22735  00:09:15.78 21805  00:06:24.64 22414  00:11:39.58    21696  04:00:35.04 21722  03:26:44.31
A1-25-50-50-8.ctp  0  21985  00:10:37.75 17572  00:06:28.58 18300  00:11:01.02    17307  03:39:50.36 17127  03:12:03.22
B1-13-25-75-4.ctp  0  15126  00:03:13.32 15126  00:01:28.81 15126  00:03:53.47    15126  00:46:19.67 15126  00:33:06.54
B1-13-25-75-5.ctp  0  12713  00:03:13.41 12713  00:01:32.33 12713  00:03:54.46    12713  00:33:54.79 12713  00:35:03.04
B1-13-25-75-6.ctp  0  11365  00:03:49.44 11365  00:01:32.50 11365  00:03:48.38    11365  00:40:55.70 11365  00:35:28.91
B1-13-25-75-8.ctp  0  10506  00:03:13.52 10468  00:01:20.91 10468  00:03:41.00    10468  00:35:04.41 10468  00:30:26.51
B1-25-50-50-4.ctp  0  35091  00:10:00.60 31804  00:04:42.72 31649  00:08:08.45    31364  04:59:41.64 31480  04:23:46.14
B1-25-50-50-5.ctp  0  32162  00:09:59.17 27391  00:04:08.85 28366  00:10:56.86    27012  04:43:00.51 27160  04:09:23.33
B1-25-50-50-6.ctp  0  28134  00:10:21.23 24462  00:04:36.02 25436  00:11:38.92    24045  04:26:20.66 24270  03:58:52.12
B1-25-50-50-8.ctp  0  23663  00:10:55.63 20677  00:04:36.23 21521  00:13:30.03    20327  03:54:53.89 20251  03:26:01.21
C1-13-25-75-4.ctp  0  18294  00:03:51.84 18270  00:02:42.78 18270  00:03:49.32    18270  00:54:14.58 18328  00:45:24.83
C1-13-25-75-5.ctp  0  16827  00:04:09.71 16827  00:02:45.79 16827  00:04:21.35    16827  00:57:12.61 16827  00:33:44.29
C1-13-25-75-6.ctp  0  15566  00:03:55.92 15656  00:02:26.88 15787  00:04:20.70    15601  00:48:06.93 15566  00:35:09.78
C1-13-25-75-8.ctp  0  12843  00:04:18.52 12843  00:02:35.78 13286  00:04:29.45    12843  00:40:21.54 12843  00:29:05.16
C1-25-50-50-4.ctp  0  34815  00:09:25.32 30449  00:07:13.20 31566  00:10:32.35    30400  04:59:21.56 30484  04:19:32.70
C1-25-50-50-5.ctp  0  30000  00:09:11.63 27214  00:06:25.80 27284  00:10:13.59    26801  04:53:28.77 27145  04:09:31.93
C1-25-50-50-6.ctp  0  27020  00:10:06.30 24284  00:07:33.21 24903  00:11:31.10    24125  04:37:38.92 24190  03:53:07.00
C1-25-50-50-8.ctp  0  21612  00:10:22.48 21266  00:06:42.92 22284  00:10:45.83    20340  03:57:42.47 21123  03:23:18.29
D1-13-25-75-4.ctp  0  19508  00:03:51.07 19508  00:02:32.62 19508  00:04:17.15    19508  00:46:09.73 19508  00:40:21.25
D1-13-25-75-5.ctp  0  16474  00:01:40.26 16474  00:02:39.42 16474  00:04:47.62    16474  00:41:02.22 16474  00:34:19.13
D1-13-25-75-6.ctp  0  15571  00:01:44.02 15571  00:02:39.98 15571  00:04:30.37    15571  00:41:50.47 15571  00:34:45.32
D1-13-25-75-8.ctp  0  14182  00:03:54.14 14182  00:01:37.27 14182  00:01:53.45    14182  00:10:02.60 14182  00:30:52.61
D1-25-50-50-4.ctp  0  41377  00:10:50.06 36064  00:07:52.21 36025  00:12:12.83    35538  05:42:21.44 35235  04:34:39.38
D1-25-50-50-5.ctp  0  33409  00:11:23.53 31796  00:07:33.58 31325  00:13:32.63    30272  05:22:48.81 30625  04:29:47.79
D1-25-50-50-6.ctp  0  30853  00:11:50.18 28401  00:06:59.07 28669  00:09:52.13    27646  04:52:57.29 27754  04:09:48.53
D1-25-50-50-8.ctp  0  26302  00:12:07.64 23830  00:08:34.71 23847  00:14:46.30    23389  03:11:58.16 23171  03:33:34.77
                     
                     
                     
Instances  Hoang  GA-R   GA-I3   GA-I5   GALS-R   GALS-I3   GALS-I5  
 optimal Cost GAP cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time cost GAP time
A1-1-25-75-4.ctp 8479 8479 0 8479 0 00:04:11.96 8479 0 00:01:36.81 8479 0 00:04:55.99 8479 0 00:04:56.10 8479 0 00:12:30.01 8479 0 00:08:51.04
A1-1-25-75-5.ctp 8479 8479 0 8479 0 00:04:26.22 8479 0 00:02:41.73 8479 0 00:04:45.83 8479 0 00:07:25.90 8479 0 00:13:09.78 8479 0 00:10:57.86
A1-1-25-75-6.ctp 8479 8479 0 8479 0 00:04:25.01 8479 0 00:02:42.48 8479 0 00:04:44.98 8479 0 00:07:44.55 8479 0 00:13:04.74 8479 0 00:10:32.55
A1-1-25-75-8.ctp 7985 7985 0 7985 0 00:04:08.76 7985 0 00:01:33.82 7985 0 00:04:57.70 7985 0 00:06:30.74 7985 0 00:11:36.44 7985 0 00:09:11.84
A1-1-50-50-4.ctp 10271 10271 0 10271 0 00:05:48.80 10271 0 00:02:45.41 10271 0 00:05:39.65 10271 0 00:16:24.78 10271 0 00:26:44.18 10271 0 00:21:23.11
